accountAgeDays,numItems,localTime,paymentMethod,paymentMethodAgeDays,label
638,1,4.962055,creditcard,0.001388889,0
32,1,4.057414,paypal,23.43333333,0
684,1,4.965339,paypal,316.0368056,0
2000,1,4.52458,creditcard,708.9708333,0
1657,1,4.921318,creditcard,26.22222222,0
1133,1,4.921349,creditcard,65.85625,0
4,1,5.017904,creditcard,3.365972222,0
599,1,4.962055,creditcard,0,0
2000,1,5.034622,paypal,544.96875,0
162,2,4.748314,creditcard,161.9548611,0
1407,1,4.962055,creditcard,0,0
2000,1,4.505662,creditcard,0,0
535,1,4.742303,creditcard,37.42708333,0
735,1,4.748314,creditcard,0,0
1657,1,3.066058,paypal,244.5597222,0
3,1,4.876771,creditcard,2.777777778,0
1397,1,4.748314,creditcard,342.8895833,0
222,1,4.921318,creditcard,221.2590278,0
913,1,4.895263,creditcard,0,0
1843,1,5.040929,creditcard,0.208333333,0
19,1,4.886641,creditcard,0.001388889,0
2000,1,5.017904,creditcard,225.3180556,0
2000,1,4.742303,paypal,259.1277778,0
1014,1,4.965339,creditcard,666.0104167,0
2000,1,4.748314,creditcard,0,0
964,1,4.876771,creditcard,0,0
66,1,4.745402,paypal,0.954166667,0
544,1,4.965339,paypal,0,0
1866,1,4.742303,paypal,145.4611111,0
2000,1,3.575983,creditcard,777.1263889,0
601,1,3.954522,creditcard,0,0
954,1,4.886641,creditcard,0.688888889,0
211,1,4.505662,storecredit,202.0784722,0
2000,1,4.876771,creditcard,0.000694444,0
883,3,4.505662,paypal,424.275,0
1183,1,4.962055,creditcard,0,0
2000,1,5.017904,creditcard,372.04375,0
605,1,4.921318,creditcard,0,0
1625,1,4.895263,creditcard,0,0
1933,1,3.575983,creditcard,82.03055556,0
3,1,4.836982,creditcard,0,0
2000,1,4.962055,paypal,0.002083333,0
1547,1,4.962055,paypal,0.002083333,0
54,1,4.962055,creditcard,0,0
279,1,4.745402,creditcard,113.7875,0
1,4,4.836982,creditcard,0,1
2000,1,4.745402,creditcard,0.001388889,0
89,1,4.52458,paypal,88.04791667,0
1767,1,5.040929,creditcard,754.8847222,0
1609,1,4.965339,storecredit,0.057638889,0
261,1,4.895263,creditcard,254.7333333,0
2000,1,4.057414,paypal,0,0
978,2,4.876771,creditcard,0,0
1858,1,4.962055,creditcard,0.013194444,0
3,1,5.034622,paypal,1.982638889,0
2000,1,5.040929,paypal,0,0
150,1,5.040929,creditcard,86.14861111,0
182,1,4.52458,storecredit,174.5569444,0
931,1,3.575983,creditcard,0,0
158,1,4.461622,creditcard,0,0
2000,1,4.962055,creditcard,718.7652778,0
2000,1,4.965339,paypal,0,0
2000,1,4.745402,creditcard,0,0
1162,1,4.876771,paypal,0,0
1208,1,4.962055,creditcard,465.825,0
127,1,5.040929,creditcard,0.000694444,0
13,1,4.921318,creditcard,0,0
1670,1,4.748314,paypal,0,0
2000,1,4.836982,paypal,101.8923611,0
444,1,4.836982,paypal,99.11736111,0
21,1,4.895263,creditcard,20.9,0
19,2,4.962055,creditcard,0,0
66,1,4.742303,creditcard,16.825,0
2000,1,4.745402,storecredit,0,0
86,1,4.52458,creditcard,85.37361111,0
1896,1,4.921349,creditcard,0,0
273,1,5.034622,creditcard,0.001388889,0
43,1,4.876771,creditcard,0.002083333,0
154,1,4.895263,creditcard,0,0
497,1,4.965339,storecredit,494.9736111,0
494,1,4.962055,paypal,0.045833333,0
1799,1,4.921349,paypal,1762.999306,0
2000,1,3.483951,creditcard,502.3819444,0
541,1,4.057414,creditcard,0,0
369,1,4.921349,creditcard,0,0
1075,1,3.066058,creditcard,8.1,0
2000,1,5.017904,paypal,129.9291667,0
53,1,5.040929,paypal,52.24444444,0
2000,1,4.921349,creditcard,327.9013889,0
824,1,4.057414,creditcard,0.000694444,0
3,1,4.505662,creditcard,0.002777778,0
604,1,4.876771,creditcard,0,0
1285,1,4.52458,paypal,26.00694444,0
279,1,4.057414,creditcard,0.004166667,0
2,1,4.921349,creditcard,0,0
1477,1,5.017904,paypal,0,0
645,1,3.954522,paypal,555.3361111,0
2,1,4.52458,creditcard,1.15,0
131,1,4.886641,creditcard,0,0
2000,1,4.461622,paypal,0,0
37,1,4.505662,creditcard,36.44027778,0
3,1,4.921349,storecredit,0,0
2000,1,2.94894,creditcard,0,0
2000,1,5.017904,creditcard,0.006944444,0
125,1,4.895263,paypal,0.001388889,0
1535,1,5.017904,paypal,0.005555556,0
1305,1,5.040929,creditcard,1261.107639,0
2000,1,4.962055,paypal,711.0861111,0
2000,4,4.742303,creditcard,0,0
32,1,4.962055,creditcard,29.17986111,0
2000,1,4.886641,paypal,0.423611111,0
2000,1,5.040929,creditcard,0.003472222,0
106,1,4.965339,creditcard,0,0
1672,1,4.921349,paypal,1568.803472,0
1900,1,5.034622,creditcard,0.005555556,0
911,1,4.876771,paypal,0.000694444,0
66,1,4.057414,paypal,0,0
13,1,4.921349,creditcard,12.19861111,0
2000,5,2.596228,creditcard,217.5888889,0
1394,5,4.742303,creditcard,549.9805556,0
1991,1,4.886641,creditcard,1394.418056,0
31,1,4.505662,creditcard,30.23472222,0
102,1,4.836982,creditcard,0,0
1941,1,4.921349,creditcard,2.8875,0
1460,1,3.066058,paypal,0.002083333,0
664,1,4.886641,paypal,0.000694444,0
1979,1,4.505662,storecredit,455.5715278,0
2000,1,4.461622,paypal,1.542361111,0
569,1,4.876771,creditcard,0.011111111,0
171,1,5.034622,creditcard,0,0
1392,1,4.965339,creditcard,0,0
639,1,5.017904,creditcard,627.975,0
14,1,4.921318,creditcard,0,0
776,1,4.886641,creditcard,0,0
906,1,5.040929,creditcard,0,0
4,1,4.921318,creditcard,0,0
2000,1,4.921349,creditcard,264.7569444,0
131,1,4.962055,paypal,130.1930556,0
49,1,4.886641,creditcard,0,0
2,1,4.836982,creditcard,1.0375,0
145,1,4.745402,creditcard,144.51875,0
91,1,4.505662,creditcard,0.000694444,0
17,1,5.034622,creditcard,0,0
151,1,4.965339,creditcard,0,0
553,1,4.965339,creditcard,4.1,0
779,3,4.057414,creditcard,128.0277778,0
1306,1,4.836982,creditcard,0.002777778,0
2000,1,5.017904,creditcard,293.9875,0
877,1,4.52458,creditcard,682.8326389,0
2000,1,4.748314,paypal,0,0
949,1,4.965339,creditcard,0.002083333,0
367,1,5.017904,creditcard,0,0
2000,1,4.921349,creditcard,0.002083333,0
1602,1,4.921349,creditcard,0.009722222,0
2000,1,4.52458,creditcard,277.0902778,0
1536,1,4.742303,creditcard,966.3458333,0
2000,1,4.745402,paypal,2.920833333,0
526,1,4.886641,creditcard,25.94583333,0
51,1,4.836982,creditcard,0,0
1289,1,5.034622,creditcard,251.1465278,0
38,1,4.921318,creditcard,0,0
235,1,4.921318,storecredit,0,0
1842,1,4.876771,creditcard,0.775694444,0
2,1,4.748314,creditcard,1.025,0
39,1,5.017904,paypal,0,0
529,1,4.895263,creditcard,508.4972222,0
2000,1,4.505662,creditcard,0.001388889,0
2,1,3.575983,creditcard,1.116666667,0
1994,1,4.921318,creditcard,0.000694444,0
4,1,2.596228,paypal,3.463194444,0
2000,1,4.895263,paypal,944.6923611,0
37,1,4.505662,paypal,0,0
2000,1,4.876771,creditcard,101.1611111,0
1612,1,4.505662,paypal,0.494444444,0
17,1,5.017904,paypal,16.06527778,0
1615,1,4.748314,paypal,0.000694444,0
19,1,5.040929,storecredit,18.21388889,0
2000,1,4.886641,creditcard,253.2847222,0
884,1,4.965339,creditcard,0.016666667,0
1,1,4.836982,paypal,0.002777778,1
190,1,5.034622,storecredit,97.04305556,0
130,1,4.505662,creditcard,129.2347222,0
2000,1,4.742303,paypal,0,0
2000,1,4.962055,paypal,0,0
3,1,4.748314,creditcard,0.001388889,0
8,1,5.040929,creditcard,0,0
295,2,5.040929,creditcard,0.001388889,0
352,1,4.745402,creditcard,351.8569444,0
2000,1,4.748314,paypal,3.059027778,0
1603,1,4.876771,paypal,0,0
322,1,4.745402,creditcard,0,0
114,1,4.876771,paypal,0,0
1981,1,4.921349,creditcard,0,0
3,1,4.52458,creditcard,2.036111111,0
2000,1,4.921318,creditcard,0,0
1173,1,5.017904,creditcard,0.003472222,0
125,1,4.921349,creditcard,124.1861111,0
635,1,4.921349,creditcard,633.8847222,0
2000,1,4.876771,storecredit,0,0
54,1,4.886641,creditcard,0,0
54,1,4.836982,creditcard,0,0
633,1,5.034622,creditcard,0,0
8,1,4.745402,creditcard,0,0
256,1,4.962055,paypal,0,0
145,1,4.886641,creditcard,0,0
73,2,4.52458,creditcard,72.37638889,0
466,1,4.057414,creditcard,0,0
1608,1,4.921349,creditcard,478.6145833,0
1783,1,4.52458,creditcard,0,0
989,1,4.836982,creditcard,988.6666667,0
1292,1,4.921349,creditcard,0,0
2,1,5.034622,paypal,1.026388889,0
1597,1,5.017904,creditcard,118.9895833,0
578,1,3.575983,creditcard,486.1923611,0
105,1,5.040929,paypal,104.1763889,0
2000,2,4.745402,creditcard,0,0
1,1,4.921318,creditcard,0,1
2000,1,3.483951,creditcard,0.442361111,0
211,1,2.596228,creditcard,210.3729167,0
2000,1,4.836982,creditcard,0,0
167,1,4.921318,creditcard,166.8965278,0
140,1,5.034622,creditcard,139.0340278,0
41,1,4.895263,creditcard,8.585416667,0
179,1,4.921318,creditcard,0.002083333,0
563,1,4.921318,creditcard,0,0
633,1,5.034622,creditcard,0,0
190,1,4.895263,creditcard,1.522916667,0
33,1,4.52458,creditcard,32.10416667,0
549,1,4.895263,paypal,0.452083333,0
2000,1,4.52458,creditcard,302.1493056,0
1049,1,5.034622,creditcard,0,0
2000,1,4.876771,creditcard,4.945833333,0
611,1,4.895263,creditcard,103.5875,0
10,1,4.836982,creditcard,0,0
1759,1,4.057414,creditcard,477.5256944,0
1679,1,4.745402,paypal,0.000694444,0
3,1,4.886641,creditcard,2.975,0
15,1,4.836982,creditcard,14.37986111,0
8,1,4.52458,paypal,7.047222222,0
842,1,4.742303,creditcard,833.5625,0
877,1,4.745402,creditcard,0,0
1326,1,5.034622,creditcard,0,0
2,1,3.483951,creditcard,1.113888889,0
2000,1,4.921349,creditcard,210.03125,0
798,1,4.745402,creditcard,0,0
211,1,4.836982,creditcard,0.006944444,0
804,1,5.040929,creditcard,0,0
987,1,4.836982,paypal,0.054166667,0
1089,1,3.954522,creditcard,1088.738194,0
205,1,4.745402,creditcard,0,0
1350,1,3.954522,paypal,0.011111111,0
2000,1,4.921349,paypal,366.69375,0
2,1,4.962055,creditcard,1.748611111,0
785,2,4.745402,creditcard,85.86805556,0
2,1,4.965339,paypal,0.002777778,0
606,1,4.505662,creditcard,0,0
943,1,4.965339,creditcard,0,0
312,1,4.876771,creditcard,0,0
442,1,4.965339,paypal,0,0
444,1,4.886641,creditcard,74.00208333,0
25,1,4.836982,creditcard,24.07430556,0
2000,1,4.52458,creditcard,1376.66875,0
14,1,4.461622,creditcard,13.90416667,0
641,1,4.748314,creditcard,0,0
2000,1,5.017904,paypal,170.1840278,0
474,1,4.742303,paypal,0,0
2000,1,4.745402,creditcard,160.6166667,0
1519,1,4.836982,paypal,0,0
299,1,4.505662,paypal,0.000694444,0
739,1,4.057414,paypal,0.005555556,0
239,1,4.886641,creditcard,0,0
169,1,4.876771,creditcard,168.0215278,0
148,1,4.921318,storecredit,143.3583333,0
80,1,4.876771,paypal,0,0
922,1,4.836982,creditcard,0,0
955,2,4.461622,creditcard,0,0
1413,1,4.057414,creditcard,0.047222222,0
1131,1,4.886641,creditcard,0,0
674,1,4.836982,creditcard,42.99097222,0
2000,1,4.965339,creditcard,3.338888889,0
2000,1,4.962055,creditcard,195.9034722,0
2000,1,4.895263,creditcard,0,0
290,1,4.057414,creditcard,288.9805556,0
1767,1,4.461622,creditcard,32.44444444,0
4,1,4.876771,creditcard,0.000694444,0
3,1,4.876771,paypal,0,0
365,1,4.748314,creditcard,0,0
823,1,5.017904,creditcard,0.110416667,0
1443,1,4.748314,creditcard,0,0
2,1,4.461622,creditcard,1.722916667,0
597,1,4.886641,paypal,212.1048611,0
1477,1,4.745402,paypal,64.60625,0
2000,1,4.745402,paypal,0.074305556,0
44,1,4.921349,creditcard,0,0
2000,1,4.52458,creditcard,0,0
2000,1,5.040929,creditcard,0.002777778,0
2000,1,4.057414,creditcard,406.5486111,0
2000,1,5.034622,creditcard,0,0
1,1,4.52458,paypal,0,1
2,1,4.748314,creditcard,1.0125,0
2000,1,4.876771,paypal,2.0625,0
5,1,4.886641,creditcard,0.025694444,0
8,2,4.505662,creditcard,0,0
2000,1,4.921349,creditcard,1830.763194,0
978,1,3.066058,creditcard,0.0125,0
132,1,4.52458,creditcard,0.977083333,0
2000,1,5.017904,creditcard,0.000694444,0
324,1,4.886641,creditcard,0,0
1691,1,4.742303,creditcard,1579.560417,0
2000,1,4.962055,paypal,969.9368056,0
212,1,3.954522,creditcard,0,0
6,2,4.921349,creditcard,0,0
531,1,4.895263,paypal,121.6256944,0
136,1,5.017904,creditcard,0,0
1307,1,4.505662,creditcard,0,0
2000,1,4.742303,creditcard,625.8847222,0
897,1,4.505662,creditcard,896.9576389,0
64,1,3.954522,creditcard,0.626388889,0
1611,1,4.962055,creditcard,0,0
119,1,4.886641,creditcard,0.000694444,0
12,1,5.034622,creditcard,0.000694444,0
695,1,4.505662,creditcard,0,0
1073,1,4.921318,creditcard,49.84583333,0
2000,1,4.742303,creditcard,412.55625,0
2000,1,4.748314,creditcard,0,0
4,1,4.748314,paypal,0.000694444,0
2000,1,5.040929,creditcard,0,0
272,2,5.040929,creditcard,0,0
1992,1,5.017904,creditcard,0.000694444,0
2000,1,5.017904,creditcard,1384.531944,0
501,1,5.017904,paypal,0.000694444,0
99,1,4.895263,creditcard,32.43402778,0
3,1,4.876771,paypal,0,0
105,1,5.040929,creditcard,0,0
11,1,4.745402,creditcard,0,0
2000,1,5.040929,creditcard,99.0375,0
1905,1,4.742303,creditcard,0,0
611,1,3.575983,creditcard,537.03125,0
270,1,3.575983,creditcard,0,0
2,1,4.895263,paypal,1.01875,0
802,1,5.034622,creditcard,0,0
17,1,4.895263,storecredit,0,0
1194,1,4.505662,creditcard,0.063194444,0
1575,1,4.461622,creditcard,0,0
38,1,4.748314,paypal,0.010416667,0
49,1,5.040929,paypal,48.99652778,0
1768,1,4.965339,paypal,1009.372222,0
37,1,4.745402,creditcard,0.000694444,0
1025,1,4.921318,creditcard,155.7298611,0
13,1,4.836982,creditcard,0.036805556,0
909,1,4.745402,creditcard,0,0
1165,1,4.886641,paypal,0.591666667,0
2000,1,4.742303,paypal,0,0
4,1,5.040929,creditcard,0,0
7,1,4.876771,creditcard,0.001388889,0
298,2,4.886641,paypal,151.7506944,0
1,1,4.748314,paypal,0,1
2000,1,4.745402,creditcard,546.7083333,0
1,1,4.745402,creditcard,0.003472222,1
2000,1,4.505662,creditcard,0,0
6,1,4.921349,creditcard,0.002083333,0
888,1,4.745402,creditcard,0.921527778,0
135,1,4.745402,creditcard,0,0
1697,1,4.965339,creditcard,0,0
119,1,4.965339,creditcard,118.9715278,0
441,1,4.876771,creditcard,0.000694444,0
15,1,4.876771,paypal,0,0
56,1,2.94894,creditcard,53.56319444,0
253,1,4.921318,creditcard,252.0215278,0
2000,1,4.461622,paypal,0.507638889,0
2000,1,5.017904,paypal,390.5180556,0
2000,1,5.034622,creditcard,119.0430556,0
663,1,4.748314,creditcard,0,0
1714,2,4.745402,creditcard,680.1923611,0
4,1,4.836982,storecredit,0.000694444,0
200,1,4.962055,creditcard,0,0
278,1,5.017904,creditcard,0.002777778,0
111,1,5.017904,creditcard,0,0
1958,1,4.748314,paypal,25.87013889,0
38,1,4.52458,creditcard,37.0625,0
144,1,5.034622,creditcard,0,0
1481,1,3.954522,paypal,0.382638889,0
27,1,4.895263,creditcard,25.63541667,0
2000,1,4.962055,creditcard,0,0
138,1,4.742303,creditcard,0,0
2000,1,4.895263,creditcard,629.9430556,0
2000,1,4.057414,creditcard,0,0
2000,1,4.748314,creditcard,934.2243056,0
27,1,5.040929,creditcard,0.444444444,0
2000,1,4.895263,paypal,0,0
45,2,4.745402,creditcard,44.86388889,0
67,1,4.921349,creditcard,0,0
215,1,4.748314,creditcard,173.5479167,0
1922,1,3.066058,creditcard,0.886805556,0
148,1,4.921349,creditcard,0,0
1595,1,4.876771,storecredit,1.054861111,0
87,1,4.921318,creditcard,0.000694444,0
1,1,4.921318,creditcard,0,1
778,1,3.483951,creditcard,0,0
68,1,4.745402,creditcard,0.000694444,0
10,1,5.017904,creditcard,0,0
1323,1,4.057414,paypal,86.08819444,0
1921,1,4.962055,creditcard,0,0
1756,1,4.745402,creditcard,1.825694444,0
1801,2,4.921349,storecredit,0,0
947,1,4.745402,paypal,0.805555556,0
2,1,4.461622,creditcard,0,0
2000,1,4.52458,paypal,288.50625,0
742,1,4.057414,creditcard,0,0
1613,1,5.040929,creditcard,15.37916667,0
278,1,4.886641,creditcard,0.007638889,0
83,1,4.057414,creditcard,82.78611111,0
2000,1,5.040929,creditcard,1548.034028,0
3,1,4.921349,paypal,0,0
410,1,3.575983,paypal,124.2548611,0
31,1,4.965339,creditcard,0,0
2000,1,5.034622,creditcard,337.7875,0
2000,1,4.965339,creditcard,193.1138889,0
892,1,4.745402,creditcard,0,0
1634,1,4.52458,creditcard,0,0
205,10,4.748314,creditcard,57.02013889,0
648,1,4.748314,storecredit,0.000694444,0
1098,1,5.017904,creditcard,0.000694444,0
1937,1,5.040929,creditcard,318.0840278,0
1817,1,4.742303,paypal,0.003472222,0
132,1,4.921349,paypal,131.1034722,0
909,1,3.575983,paypal,314.9493056,0
655,1,5.034622,creditcard,0,0
2000,1,5.040929,creditcard,0,0
196,1,4.921349,creditcard,0,0
299,1,4.921318,creditcard,0,0
124,1,3.483951,paypal,123.6208333,0
1724,1,4.742303,paypal,323.2729167,0
1546,1,3.483951,paypal,0,0
2000,1,4.886641,creditcard,0,0
307,1,5.034622,creditcard,0,0
2000,1,4.52458,creditcard,509.3736111,0
1196,1,5.017904,creditcard,0,0
272,1,4.876771,storecredit,0,0
529,1,2.596228,creditcard,145.4423611,0
1,1,4.921349,creditcard,0.007638889,1
2000,1,4.895263,creditcard,0.000694444,0
2000,1,4.836982,storecredit,263.8020833,0
1129,1,4.886641,creditcard,0.001388889,0
72,1,4.52458,paypal,71.45555556,0
579,1,4.461622,creditcard,486.3229167,0
2000,1,4.921318,creditcard,0.017361111,0
385,1,4.965339,creditcard,10.17013889,0
247,1,4.505662,creditcard,246.0729167,0
567,1,4.505662,creditcard,411.8194444,0
1147,1,4.745402,creditcard,86.59444444,0
958,1,4.461622,creditcard,0,0
101,1,4.742303,paypal,0,0
2000,1,4.965339,paypal,718.6020833,0
2000,1,4.962055,paypal,136.2270833,0
219,1,4.962055,paypal,0,0
934,1,4.921349,creditcard,0.000694444,0
46,1,4.748314,creditcard,0,0
912,1,4.921318,paypal,180.8,0
151,1,3.954522,creditcard,0,0
487,1,4.876771,creditcard,485.7930556,0
129,1,4.52458,creditcard,128.4555556,0
1213,1,5.040929,creditcard,0,0
1622,1,4.52458,creditcard,1.35625,0
620,1,4.965339,paypal,619.6791667,0
2000,1,4.965339,creditcard,929.0541667,0
857,2,4.886641,creditcard,0,0
13,1,4.962055,creditcard,0,0
2000,1,5.017904,creditcard,88.38402778,0
454,1,5.034622,creditcard,0,0
14,2,4.895263,creditcard,13.83958333,0
1272,1,4.505662,paypal,815.2645833,0
564,1,4.748314,paypal,547.8152778,0
2000,1,4.886641,creditcard,0.002777778,0
947,3,4.876771,creditcard,208.3854167,0
46,1,4.886641,creditcard,44.9875,0
4,1,5.034622,creditcard,3.308333333,0
993,1,4.745402,creditcard,0,0
8,1,4.921349,creditcard,7.046527778,0
13,1,4.895263,creditcard,12.87916667,0
323,1,5.017904,creditcard,322.0611111,0
2000,1,4.921318,creditcard,0.001388889,0
618,1,3.483951,paypal,542.5013889,0
2000,1,4.742303,paypal,0.003472222,0
915,1,4.836982,creditcard,363.9083333,0
2000,1,4.965339,creditcard,0,0
2000,1,4.895263,creditcard,0.001388889,0
2000,1,5.017904,creditcard,1045.021528,0
20,1,4.745402,creditcard,14.14791667,0
2000,1,4.836982,creditcard,0,0
2000,1,4.461622,creditcard,1.506944444,0
1425,1,4.921318,creditcard,0,0
1156,1,4.886641,creditcard,0,0
180,1,4.962055,creditcard,0.132638889,0
2000,1,4.461622,paypal,504.7409722,0
1985,1,4.742303,paypal,32.67569444,0
2000,1,4.748314,creditcard,52.84375,0
8,1,4.895263,paypal,7.839583333,0
82,1,4.52458,storecredit,81.95416667,0
1804,1,4.876771,paypal,0,0
6,1,4.52458,paypal,0.310416667,0
1922,1,3.066058,paypal,0.902777778,0
155,3,4.742303,creditcard,0.007638889,0
2000,1,3.954522,creditcard,0,0
1936,1,5.017904,creditcard,0,0
2000,1,4.745402,creditcard,0,0
55,1,4.895263,creditcard,0.026388889,0
1576,1,4.836982,creditcard,0.000694444,0
215,1,2.596228,creditcard,214.3020833,0
2000,2,4.895263,creditcard,0.513888889,0
310,2,3.066058,creditcard,309.8388889,0
9,1,4.52458,paypal,8.150694444,0
6,1,4.745402,creditcard,5.559722222,0
1507,1,4.876771,creditcard,257.2326389,0
1,2,4.505662,creditcard,0,1
2000,1,4.057414,creditcard,618.0784722,0
2000,1,5.034622,creditcard,449.0972222,0
379,1,4.921318,creditcard,0,0
22,2,4.876771,creditcard,0,0
89,1,2.94894,paypal,0,0
1772,1,4.745402,creditcard,0,0
52,1,4.742303,paypal,0,0
28,1,5.034622,creditcard,27.98541667,0
1141,1,4.876771,creditcard,0,0
144,1,4.52458,creditcard,143.925,0
170,1,4.886641,storecredit,0,0
152,1,4.876771,creditcard,0,0
5,1,4.745402,paypal,4.124305556,0
2000,1,4.836982,storecredit,0,0
2000,1,5.034622,creditcard,441.8381944,0
953,1,4.921349,creditcard,244.3020833,0
1259,1,5.017904,creditcard,0.014583333,0
2000,1,3.954522,creditcard,1067.474306,0
2000,1,5.034622,creditcard,149.8701389,0
1718,1,4.876771,creditcard,0.002777778,0
52,1,4.886641,storecredit,51.90833333,0
1371,1,4.895263,creditcard,0,0
519,1,4.895263,creditcard,0,0
2,1,4.895263,creditcard,0.004861111,0
1744,1,4.745402,creditcard,0.002083333,0
2000,1,4.505662,creditcard,0.002777778,0
17,1,5.034622,creditcard,0,0
2000,1,5.034622,creditcard,532.2097222,0
1655,1,4.921349,creditcard,0,0
206,1,3.575983,paypal,205.5104167,0
2000,1,5.040929,creditcard,965.3583333,0
598,1,4.921318,paypal,0,0
867,1,4.921349,paypal,0,0
659,1,4.52458,creditcard,29.12430556,0
82,1,4.461622,paypal,81.77361111,0
525,1,3.483951,creditcard,0.000694444,0
1595,1,4.886641,creditcard,543.93125,0
895,1,4.876771,creditcard,161.0909722,0
918,1,4.748314,storecredit,7.753472222,0
127,2,4.748314,creditcard,121.0777778,0
29,1,4.921349,creditcard,0,0
6,1,4.836982,creditcard,5.8375,0
2000,1,4.836982,creditcard,529.6284722,0
1353,1,4.836982,paypal,0,0
2000,1,4.886641,creditcard,0,0
18,1,4.52458,creditcard,17.79375,0
2000,1,4.505662,creditcard,755.28125,0
1614,1,4.836982,creditcard,0,0
1572,1,4.965339,creditcard,0.000694444,0
1034,1,5.040929,creditcard,0.001388889,0
34,1,4.52458,creditcard,0,0
1257,1,5.017904,creditcard,0.001388889,0
1524,1,4.836982,creditcard,0,0
2000,1,4.742303,creditcard,286.5284722,0
2000,1,4.745402,creditcard,1063.730556,0
2000,1,4.876771,creditcard,0.000694444,0
1466,1,4.505662,creditcard,0,0
2000,1,4.748314,storecredit,1289.714583,0
1736,1,4.876771,creditcard,0,0
155,1,4.962055,creditcard,0.000694444,0
7,1,5.017904,creditcard,0,0
2000,1,4.921318,creditcard,0.002777778,0
483,1,4.876771,creditcard,7.103472222,0
115,1,4.742303,creditcard,114.9597222,0
2000,1,4.742303,creditcard,0,0
2000,1,4.748314,creditcard,12.17430556,0
1219,1,4.876771,paypal,0,0
2000,1,3.954522,creditcard,0,0
736,1,4.965339,creditcard,0.000694444,0
1,1,4.895263,paypal,0.007638889,1
2000,1,4.886641,paypal,662.875,0
987,1,5.040929,paypal,0.420138889,0
675,2,4.886641,creditcard,0,0
156,1,4.836982,creditcard,0.002083333,0
120,1,4.895263,creditcard,119.8138889,0
46,5,4.748314,paypal,27.86458333,0
14,1,5.034622,paypal,0,0
239,1,4.057414,creditcard,0,0
729,1,4.876771,paypal,38.09652778,0
613,1,4.748314,storecredit,0.000694444,0
1673,1,2.596228,creditcard,0.118055556,0
1990,1,4.505662,paypal,0.000694444,0
2000,1,5.040929,creditcard,0,0
25,1,4.836982,creditcard,0,0
235,1,5.017904,storecredit,0,0
4,1,4.921318,creditcard,3.154166667,0
1093,1,4.921349,creditcard,0.9,0
3,1,4.745402,creditcard,2.045833333,0
1924,1,4.965339,creditcard,0,0
2000,1,4.52458,creditcard,1914.3,0
929,1,4.962055,creditcard,0,0
1602,1,4.505662,creditcard,0.005555556,0
248,1,5.017904,creditcard,244.3833333,0
2,1,4.748314,creditcard,0.008333333,0
